"Title","Gross Domestic Product: Quarter on Quarter growth: CVM SA %"
"CDID","IHYQ"
"Source dataset ID","PN2"
"PreUnit",""
"Unit","%"
"Release date","12-02-2026"
"Next release","31 March 2026"
"Important notes",""
"2000 Q2","0.7"
"2000 Q3","0.6"
"2000 Q4","0.6"
"2001 Q1","0.8"
"2001 Q2","0.4"
"2001 Q3","0.5"
"2001 Q4","0.3"
"2002 Q1","0.3"
"2002 Q2","0.5"
"2002 Q3","0.6"
"2002 Q4","0.7"
"2003 Q1","0.8"
"2003 Q2","0.9"
"2003 Q3","1.0"
"2003 Q4","0.8"
"2004 Q1","0.3"
"2004 Q2","0.5"
"2004 Q3","0.4"
"2004 Q4","0.5"
"2005 Q1","0.8"
"2005 Q2","0.8"
"2005 Q3","0.9"
"2005 Q4","1.0"
"2006 Q1","0.4"
"2006 Q2","0.3"
"2006 Q3","0.2"
"2006 Q4","0.4"
"2007 Q1","1.1"
"2007 Q2","0.9"
"2007 Q3","0.9"
"2007 Q4","0.8"
"2008 Q1","0.4"
"2008 Q2","-0.5"
"2008 Q3","-1.6"
"2008 Q4","-2.1"
"2009 Q1","-2.0"
"2009 Q2","-0.3"
"2009 Q3","0.1"
"2009 Q4","0.3"
"2010 Q1","0.8"
"2010 Q2","1.1"
"2010 Q3","0.6"
"2010 Q4","0.1"
"2011 Q1","0.2"
"2011 Q2","0.0"
"2011 Q3","0.2"
"2011 Q4","0.1"
"2012 Q1","0.9"
"2012 Q2","-0.1"
"2012 Q3","1.0"
"2012 Q4","-0.1"
"2013 Q1","0.3"
"2013 Q2","0.7"
"2013 Q3","0.8"
"2013 Q4","0.7"
"2014 Q1","0.8"
"2014 Q2","0.9"
"2014 Q3","0.8"
"2014 Q4","0.7"
"2015 Q1","0.3"
"2015 Q2","0.5"
"2015 Q3","0.4"
"2015 Q4","0.6"
"2016 Q1","0.5"
"2016 Q2","0.7"
"2016 Q3","0.4"
"2016 Q4","0.6"
"2017 Q1","1.0"
"2017 Q2","0.9"
"2017 Q3","0.7"
"2017 Q4","0.8"
"2018 Q1","0.1"
"2018 Q2","0.2"
"2018 Q3","0.3"
"2018 Q4","0.1"
"2019 Q1","0.5"
"2019 Q2","0.2"
"2019 Q3","0.6"
"2019 Q4","0.0"
"2020 Q1","-2.7"
"2020 Q2","-19.9"
"2020 Q3","17.0"
"2020 Q4","1.4"
"2021 Q1","-1.1"
"2021 Q2","7.0"
"2021 Q3","1.7"
"2021 Q4","1.4"
"2022 Q1","1.0"
"2022 Q2","0.6"
"2022 Q3","0.1"
"2022 Q4","0.3"
"2023 Q1","0.1"
"2023 Q2","0.0"
"2023 Q3","-0.2"
"2023 Q4","-0.3"
"2024 Q1","0.8"
"2024 Q2","0.6"
"2024 Q3","0.2"
"2024 Q4","0.3"
"2025 Q1","0.7"
"2025 Q2","0.2"
"2025 Q3","0.1"
"2025 Q4","0.1"
