Name,Type,Price,Support,Experience,Surface,Midsole Drop(mm),Weight(g),High Arch,Medium Arch,Flat Arch,Segmented Crash Pad,DNA LOFT,BioMoGo DNA,3D Fit Print,DNA AMP,GuideRails,DNA Midsole,Ballistic Rock Shield,Gore-Tex,DNA Flash,Rapid Roll,DNA ZERO,Super DNA
Cascadia 15,Women's,130,Neutral,Cushion,Trail,8,283.5,Yes,Yes,,,,Yes,Yes,,,,Yes,,,,,
Divide,Women's,100,Neutral,Cushion,Trail,8,260.8,Yes,Yes,,,,Yes,,,,,,,,,,
Hyperion Elite 2,Unisex,250,Neutral,Speed,Road,,215.5,Yes,Yes,Yes,,,,,,,,,,Yes,Yes,,
Hyperion Tempo,Women's,150,Neutral,Speed,Road,8,189.9,Yes,Yes,Yes,,,,,,,,,,Yes,,,
Caldera 4,Women's,140,Neutral,Energize,Trail,4,252.3,Yes,Yes,,,,Yes,,,,,,,,,,
Ricochet 2 LE,Women's,120,Neutral,Energize,Road,8,275,Yes,Yes,,,,Yes,,Yes,,,,,,,,
Cascadia 15 GTX,Women's,160,Neutral,Cushion,Trail,8,294.8,Yes,Yes,,,,Yes,Yes,,,,Yes,Yes,,,,
Anthem 3,Women's,69.95,Neutral,Cushion,Road,10,235.3,Yes,Yes,,,,Yes,,,,,,,,,,
Hyperion,Women's,130,Neutral,Speed,Road,10,161.6,Yes,Yes,,,,Yes,,,,Yes,,,,,,
Launch 7,Women's,100,Neutral,Speed,Road,10,226.8,Yes,Yes,,,,Yes,,,,,,,,,,
Dyad 10,Women's,84.5,Neutral,Cushion,Road,10,297.7,,Yes,Yes,,,Yes,,,,,,,,,,
Ariel '18,Women's,104,Max Support,Cushion,Road,12,334.5,,Yes,Yes,,,,,,,Yes,,,,,,Yes
PureGrit 8,Women's,78,Neutral,Connect,Trail,4,232.5,Yes,Yes,,,,Yes,,,,,,,,,,
